City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Arraial Do Cabo,BR,82.4,clear sky,-22.9661,-42.0278,Pousada Porto Praia
12,Atuona,PF,80.91,scattered clouds,-9.8,-139.0333,Villa Enata
13,Kulhudhuffushi,MV,82.63,scattered clouds,6.6221,73.07,Haajy Guest House 1
16,Santa Marta,CO,84.99,scattered clouds,11.2408,-74.199,Casa de Isabella
19,Rikitea,PF,78.46,clear sky,-23.1203,-134.9692,Pension Maro'i
22,Madang,PG,77.67,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
24,Upata,VE,87.01,overcast clouds,8.0086,-62.3989,Posada Villa Nela
25,Mahebourg,MU,75.2,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
31,Najran,SA,77.0,few clouds,17.4924,44.1277,محمد هادي ال فطيح
33,Hilo,US,78.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
45,Sao Gabriel Da Cachoeira,BR,87.8,few clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
46,Kapaa,US,78.8,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
48,Puerto Escondido,MX,86.0,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
49,Port Blair,IN,81.79,few clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
50,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
53,San Pedro,PH,81.0,scattered clouds,14.35,121.0167,OYO 412 Viewfort Venue
56,Sabang,ID,81.99,scattered clouds,5.8933,95.3214,Hotel Citra
57,Namibe,AO,79.75,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
60,Ugoofaaru,MV,82.51,broken clouds,5.6667,73.0,Ungoofaaru Inn
61,Vila Velha,BR,78.8,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
62,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
77,Avarua,CK,80.6,few clouds,-21.2078,-159.775,Paradise Inn
79,Victoria,HK,75.0,scattered clouds,22.2855,114.1577,Mini Hotel Central
80,Tautira,PF,87.8,light rain,-17.7333,-149.15,Pension Oaoa
83,Sokoni,TZ,77.36,moderate rain,-6.4333,39.55,Ujamaa Beach Resort
85,Takoradi,GH,81.27,broken clouds,4.8845,-1.7554,Raybow International Hotel
88,Cururupu,BR,76.57,broken clouds,-1.8283,-44.8683,Pousada Través'cia
90,Doha,QA,82.4,clear sky,25.2867,51.5333,Movenpick Hotel Doha
91,Harper,LR,81.07,broken clouds,4.375,-7.7169,Screensaver
92,Puerto Ayora,EC,78.8,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
94,Georgetown,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
95,Faanui,PF,82.08,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
99,Meiktila,MM,80.01,broken clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
100,San Patricio,US,82.4,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
106,Rio Linda,US,84.99,clear sky,38.691,-121.4486,Lees bed and breakfast
114,Butaritari,KI,81.75,light rain,3.0707,172.7902,Isles Sunset Lodge
117,Bambous Virieux,MU,75.2,moderate rain,-20.3428,57.7575,Casa Tia Villa
120,Sabha,LY,78.1,few clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
122,Lorengau,PG,77.4,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
124,Kavaratti,IN,82.6,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
126,Viana,BR,78.8,clear sky,-20.3903,-40.4961,Sítio Gava
127,Beruwala,LK,77.38,broken clouds,6.4788,79.9828,The Palms Hotel
132,Itarema,BR,79.43,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
135,Hithadhoo,MV,82.74,overcast clouds,-0.6,73.0833,Scoop Guest House
143,Monrovia,LR,78.8,few clouds,6.3005,-10.7969,Sunset Inn
145,Tomatlan,MX,84.56,clear sky,19.9333,-105.25,Norma franco
148,Mahibadhoo,MV,82.36,overcast clouds,3.7833,72.9667,Omadhoo Inn
149,Manokwari,ID,81.03,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
154,Alim,PH,80.38,overcast clouds,9.5649,122.4876,Calamai Tropica
157,Olinda,BR,77.0,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
159,Kimbe,PG,78.71,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
160,Diamantino,BR,75.38,few clouds,-14.4086,-56.4461,Hotel Delta
163,Souillac,MU,75.2,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
165,Conde,BR,78.8,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
167,Hambantota,LK,77.99,scattered clouds,6.1241,81.1185,Bungalow 63
168,Sao Felix Do Xingu,BR,77.54,broken clouds,-6.6447,-51.995,Rio Xingu Camping
170,Caravelas,BR,75.58,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
171,San Andres,CO,86.0,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
174,Ikom,NG,76.91,light rain,5.9667,8.7063,Reho Farm & Resort
181,Dingle,PH,78.91,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
183,Salalah,OM,80.6,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
184,Santa Cruz,BO,75.2,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
189,Mayumba,GA,79.14,light rain,-3.432,10.6554,LIKWALE LODGE
191,Bundaberg,AU,77.0,clear sky,-24.85,152.35,Takalvan Motel
192,Mandeville,JM,84.2,broken clouds,18.0417,-77.5071,Mandeville Hotel
194,West Odessa,US,75.99,clear sky,31.8424,-102.4988,Corporate Mobile Housing
195,Musafirkhana,IN,79.39,clear sky,26.3667,81.8,Hari om rasoi
196,Bom Jesus,BR,82.47,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
202,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
206,Sao Filipe,CV,75.97,scattered clouds,14.8961,-24.4956,Tortuga B&B
209,Nouakchott,MR,80.6,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
214,Phonhong,LA,77.36,broken clouds,18.5007,102.4166,Manyvong Guest House
215,Dera Bugti,PK,79.36,broken clouds,29.0307,69.15100000000001,Nawab Bugti House
222,Salinopolis,BR,79.48,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
223,Saint-Pierre,RE,78.8,light rain,-21.3393,55.4781,Lindsey Hôtel
229,Oriximina,BR,77.36,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
231,Vao,NC,76.64,light rain,-22.6667,167.4833,Hotel Kou-Bugny
239,Kudahuvadhoo,MV,81.93,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
244,Bilma,NE,83.37,clear sky,18.6853,12.9164,Expeditions Ténére voyages
245,Mackay,AU,77.0,overcast clouds,-21.15,149.2,International Lodge Motel
253,Sechura,PE,78.37,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
258,Padang,ID,76.33,overcast clouds,-0.9492,100.3543,Mercure Padang
273,Ferkessedougou,CI,86.27,few clouds,9.6,-5.2,Hotel Chateau
274,Saint George,US,81.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
279,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
280,Bengkulu,ID,75.87,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
281,Prescott,US,75.99,clear sky,34.54,-112.4685,Prescott Resort & Conference Center
283,Bandarbeyla,SO,78.28,overcast clouds,9.4942,50.8122,JABIR HOTEL
286,Kendari,ID,76.06,overcast clouds,-3.945,122.4989,Hotel Wixel
292,Sola,VU,82.71,overcast clouds,-13.8833,167.55,Leumerus Bungalows
293,Auki,SB,84.02,scattered clouds,-8.7676,160.7034,Auki Motel
297,Obidos,BR,78.33,scattered clouds,-1.9175,-55.5181,Hotel Amazônia Center
300,Acapulco,MX,84.2,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
315,Pizarro,CO,79.9,overcast clouds,4.9533,-77.366,Hotel Limonar
316,San-Pedro,CI,80.89,overcast clouds,4.7485,-6.6363,Hotel Maria
