City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Castro,BR,-24.7911,-50.0119,64.09,94,24,2.93,few clouds
1,New Norfolk,AU,-42.7826,147.0587,46.99,88,100,2.77,overcast clouds
2,Makat,KZ,47.6469,53.3463,54.9,41,0,12.03,clear sky
3,Arraial Do Cabo,BR,-22.9661,-42.0278,82.4,61,0,9.22,clear sky
4,Birin,NP,26.8865,88.0718,59.59,17,0,6.02,clear sky
5,Ushuaia,AR,-54.8,-68.3,48.2,53,40,10.36,scattered clouds
6,Qaanaaq,GL,77.484,-69.3632,-1.19,87,17,3.27,few clouds
7,Punta Arenas,CL,-53.15,-70.9167,50.0,50,75,36.82,light rain
8,Bluff,NZ,-46.6,168.3333,54.0,95,100,1.99,light rain
9,Busselton,AU,-33.65,115.3333,50.0,97,99,9.1,overcast clouds
10,Cape Town,ZA,-33.9258,18.4232,63.0,94,0,11.5,clear sky
11,Talnakh,RU,69.4865,88.3972,21.76,95,100,9.66,snow
12,Atuona,PF,-9.8,-139.0333,80.91,74,40,16.31,scattered clouds
13,Kulhudhuffushi,MV,6.6221,73.07,82.63,71,31,1.36,scattered clouds
14,Thompson,CA,55.7435,-97.8558,26.6,50,90,14.97,overcast clouds
15,Jamestown,US,42.097,-79.2353,54.0,76,75,10.36,broken clouds
16,Santa Marta,CO,11.2408,-74.199,84.99,72,38,11.99,scattered clouds
17,Upernavik,GL,72.7868,-56.1549,30.4,98,100,3.0,light snow
18,Beringovskiy,RU,63.05,179.3167,11.73,88,100,21.9,light snow
19,Rikitea,PF,-23.1203,-134.9692,78.46,69,4,9.69,clear sky
20,Nola,IT,40.922,14.5329,57.0,77,100,5.99,overcast clouds
21,Port Alfred,ZA,-33.5906,26.891,70.5,93,90,2.15,overcast clouds
22,Madang,PG,-5.2246,145.7966,77.67,89,98,0.89,overcast clouds
23,Kaitangata,NZ,-46.2817,169.8464,56.26,86,100,3.74,overcast clouds
24,Upata,VE,8.0086,-62.3989,87.01,71,94,5.01,overcast clouds
25,Mahebourg,MU,-20.4081,57.7,75.2,94,40,1.14,moderate rain
26,College,US,64.8569,-147.8028,46.4,39,75,3.44,broken clouds
27,East London,ZA,-33.0153,27.9116,71.37,88,92,5.46,overcast clouds
28,Lebu,CL,-37.6167,-73.65,59.11,83,0,15.43,clear sky
29,Temozon,MX,20.8,-88.2167,95.25,38,4,9.71,clear sky
30,Leningradskiy,RU,69.3833,178.4167,4.96,76,100,12.3,overcast clouds
31,Najran,SA,17.4924,44.1277,77.0,23,20,4.59,few clouds
32,Flinders,AU,-34.5833,150.8552,57.0,73,0,1.01,clear sky
33,Hilo,US,19.7297,-155.09,78.8,57,1,11.5,light rain
34,Mingguang,CN,32.7802,117.9638,59.05,81,99,4.12,overcast clouds
35,Bredasdorp,ZA,-34.5322,20.0403,64.4,82,55,8.05,broken clouds
36,Tasiilaq,GL,65.6145,-37.6368,28.4,46,11,10.36,few clouds
37,Cubara,CO,7.0008,-72.1085,71.2,95,100,2.73,overcast clouds
38,Te Anau,NZ,-45.4167,167.7167,49.5,93,100,1.03,light rain
39,Sembe,CG,1.6481,14.5806,73.94,79,55,1.74,broken clouds
40,Saskylakh,RU,71.9167,114.0833,16.7,94,97,10.87,overcast clouds
