City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Crystal Beach,CA,2021-04-07 20:16:11,42.8699,-79.0583,72.0,54,98,10.36
1,Parainen,FI,2021-04-07 20:16:11,60.3067,22.301,33.01,93,75,2.3
2,Ushuaia,AR,2021-04-07 20:11:32,-54.8,-68.3,50.0,87,75,1.81
3,Les Cayes,HT,2021-04-07 20:16:11,18.2,-73.75,80.58,72,100,2.59
4,Mataura,NZ,2021-04-07 20:12:22,-46.1927,168.8643,45.0,96,59,2.71
5,Jamestown,US,2021-04-07 20:12:31,42.097,-79.2353,75.0,46,1,5.75
6,Bluff,NZ,2021-04-07 20:12:22,-46.6,168.3333,45.0,96,39,12.62
7,Atasu,KZ,2021-04-07 20:16:12,48.6814,71.6433,40.06,79,1,7.16
8,Pochutla,MX,2021-04-07 20:13:16,15.7432,-96.4661,95.0,38,20,17.27
9,La Rioja,ES,2021-04-07 20:16:12,42.25,-2.5,46.4,53,0,1.14
10,Busselton,AU,2021-04-07 20:12:26,-33.65,115.3333,60.01,80,58,1.01
11,Kapaa,US,2021-04-07 20:10:19,22.0752,-159.319,73.4,68,75,19.57
12,Codrington,AU,2021-04-07 20:07:41,-38.2667,141.9667,56.05,72,6,8.21
13,Hithadhoo,MV,2021-04-07 20:12:42,-0.6,73.0833,82.33,68,48,10.22
14,Saryozek,KZ,2021-04-07 20:16:13,44.3583,77.9753,44.22,73,100,2.06
15,Tiksi,RU,2021-04-07 20:12:54,71.6872,128.8694,-10.3,93,100,3.58
16,Hasaki,JP,2021-04-07 20:12:53,35.7333,140.8333,50.0,87,75,6.91
17,Albany,US,2021-04-07 20:12:42,42.6001,-73.9662,68.0,32,17,7.83
18,Chuy,UY,2021-04-07 20:12:51,-33.6971,-53.4616,75.7,70,7,14.63
19,Sinnamary,GF,2021-04-07 20:16:13,5.3833,-52.95,76.87,89,100,5.93
20,Cape Town,ZA,2021-04-07 20:08:44,-33.9258,18.4232,64.99,88,0,14.97
